"year","url_host_name","url_host_registered_domain","warc_filename","url","warc_record_offset","warc_record_length","ranking"
"2021","www.puzzlefactory.uk","puzzlefactory.uk","crawl-data/CC-MAIN-2021-04/segments/1610703522133.33/warc/CC-MAIN-20210120213234-20210121003234-00496.warc.gz","https://www.puzzlefactory.uk/","956515220","21768","1"
"2017","www.alquds.uk","alquds.uk","crawl-data/CC-MAIN-2017-39/segments/1505818686465.34/warc/CC-MAIN-20170920052220-20170920072220-00240.warc.gz","http://www.alquds.uk/?cat=104","396648555","17969","1"
"2020","www.confingopublishing.uk","confingopublishing.uk","crawl-data/CC-MAIN-2020-05/segments/1579250593937.27/warc/CC-MAIN-20200118193018-20200118221018-00502.warc.gz","https://www.confingopublishing.uk/","827263298","91979","1"
"2019","www.greywing.uk","greywing.uk","crawl-data/CC-MAIN-2019-09/segments/1550247481612.36/warc/CC-MAIN-20190217031053-20190217053053-00540.warc.gz","https://www.greywing.uk/","851874416","6371","1"
"2020","www.raffca.uk","raffca.uk","crawl-data/CC-MAIN-2020-05/segments/1579251799918.97/warc/CC-MAIN-20200129133601-20200129163601-00496.warc.gz","http://www.raffca.uk/","251910991","9100","1"
"2020","www.rangersnews.uk","rangersnews.uk","crawl-data/CC-MAIN-2020-40/segments/1600401600771.78/warc/CC-MAIN-20200928104328-20200928134328-00117.warc.gz","https://www.rangersnews.uk/?s=alfredo+morelos","901400586","11369","1"
"2019","www.mariaroart.uk","mariaroart.uk","crawl-data/CC-MAIN-2019-13/segments/1552912207146.96/warc/CC-MAIN-20190327000624-20190327022624-00083.warc.gz","http://www.mariaroart.uk/","328961806","4326","1"
"2018","www.brianvickers.uk","brianvickers.uk","crawl-data/CC-MAIN-2018-05/segments/1516084887973.50/warc/CC-MAIN-20180119105358-20180119125358-00026.warc.gz","http://www.brianvickers.uk/?page_id=1013","390773702","20283","1"
"2021","www.thefortyeightpercent.uk","thefortyeightpercent.uk","crawl-data/CC-MAIN-2021-04/segments/1610703550617.50/warc/CC-MAIN-20210124173052-20210124203052-00037.warc.gz","https://www.thefortyeightpercent.uk/","1020420927","22286","1"
"2015","www.indigoconcept.uk","indigoconcept.uk","crawl-data/CC-MAIN-2015-06/segments/1422115858727.26/warc/CC-MAIN-20150124161058-00113-ip-10-180-212-252.ec2.internal.warc.gz","http://www.indigoconcept.uk/","567070236","14064","1"
"2017","www.raf.mod.uk","mod.uk","crawl-data/CC-MAIN-2017-04/segments/1484560281263.12/warc/CC-MAIN-20170116095121-00501-ip-10-171-10-70.ec2.internal.warc.gz","http://www.raf.mod.uk/?%253Fitem=14062007news","659458305","8063","1"
"2017","www.thunderersquadron.mod.uk","mod.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280730.27/warc/CC-MAIN-20170116095120-00235-ip-10-171-10-70.ec2.internal.warc.gz","http://www.thunderersquadron.mod.uk/","714642109","739","1"
"2019","www.gmss.uk","gmss.uk","crawl-data/CC-MAIN-2019-04/segments/1547583657907.79/warc/CC-MAIN-20190116215800-20190117001800-00504.warc.gz","https://www.gmss.uk/","799596463","3455","1"
"2019","www.bestbettingsites.uk","bestbettingsites.uk","crawl-data/CC-MAIN-2019-13/segments/1552912202588.97/warc/CC-MAIN-20190321234128-20190322020128-00505.warc.gz","https://www.bestbettingsites.uk/?vwo_opt_out=1","704918155","24080","1"
"2019","www.perfect-pizza.uk","perfect-pizza.uk","crawl-data/CC-MAIN-2019-04/segments/1547583657510.42/warc/CC-MAIN-20190116134421-20190116160421-00587.warc.gz","http://www.perfect-pizza.uk/","372166964","9820","1"
"2017","www.iwlaw.uk","iwlaw.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280850.30/warc/CC-MAIN-20170116095120-00147-ip-10-171-10-70.ec2.internal.warc.gz","http://www.iwlaw.uk/","527326006","7535","1"
"2015","www.publications.parliament.uk","parliament.uk","crawl-data/CC-MAIN-2015-06/segments/1422121914832.36/warc/CC-MAIN-20150124175154-00219-ip-10-180-212-252.ec2.internal.warc.gz","http://www.publications.parliament.uk/","994456418","3910","1"
"2017","www.pigandwhistlechelmsford.uk","pigandwhistlechelmsford.uk","crawl-data/CC-MAIN-2017-04/segments/1484560283475.86/warc/CC-MAIN-20170116095123-00291-ip-10-171-10-70.ec2.internal.warc.gz","http://www.pigandwhistlechelmsford.uk/","616433393","14965","1"
"2018","www.coconido.uk","coconido.uk","crawl-data/CC-MAIN-2018-34/segments/1534221215858.81/warc/CC-MAIN-20180820062343-20180820082343-00513.warc.gz","http://www.coconido.uk/","486578282","10440","1"
"2017","www.giic.uk","giic.uk","crawl-data/CC-MAIN-2017-04/segments/1484560281649.59/warc/CC-MAIN-20170116095121-00069-ip-10-171-10-70.ec2.internal.warc.gz","http://www.giic.uk/","475388023","9337","1"
"2017","www.hypestar.uk","hypestar.uk","crawl-data/CC-MAIN-2017-09/segments/1487501170434.7/warc/CC-MAIN-20170219104610-00446-ip-10-171-10-108.ec2.internal.warc.gz","https://www.hypestar.uk/","847954778","25142","1"
"2021","www.paulburgess.uk","paulburgess.uk","crawl-data/CC-MAIN-2021-21/segments/1620243991801.49/warc/CC-MAIN-20210515100825-20210515130825-00011.warc.gz","http://www.paulburgess.uk/?tcb_lightbox=lightbox-new-home-fitbrand-smart-homepage","75751487","12849","1"
"2016","www.surreyoutdoorlearning.uk","surreyoutdoorlearning.uk","crawl-data/CC-MAIN-2016-30/segments/1469258951764.94/warc/CC-MAIN-20160723072911-00292-ip-10-185-27-174.ec2.internal.warc.gz","https://www.surreyoutdoorlearning.uk/","1009683520","5354","1"
"2021","www.bulkmarket.uk","bulkmarket.uk","crawl-data/CC-MAIN-2021-04/segments/1610703518201.29/warc/CC-MAIN-20210119072933-20210119102933-00256.warc.gz","https://www.bulkmarket.uk/","709174406","90924","1"
